date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:57	9336/9336	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-2478%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/GS.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/GS.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:15:57	2169/2169	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-879%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/GT.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/GT.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:15:58	5514/5514	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-158a%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/GU.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/GU.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:15:59	2342/2342	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-926%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/GW.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/GW.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:15:59	2684/2684	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-a7c%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/GY.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/GY.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:15:59	4279/4279	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-10b7%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/HK.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/HK.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:15:59	4134/4134	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-1026%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/HM.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/HM.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:00	2626/2626	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-a42%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/HN.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/HN.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:00	2959/2959	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-b8f%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/HR.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/HR.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
16:16:00	3896/3896	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ecbaba0-f38%22	https://demo.dashboardpack.com/architectui-html-pro/assets/fonts/HT.svg	C:/Users/User/Downloads/davlab/demo.dashboardpack.com/architectui-html-pro/assets/fonts/HT.svg	(from https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css)
